st_name,user_name,user_id,local_guide,rating_stars,time_num,time_unit,comment,create_date,update_date
圓環邊蚵仔煎,R Lin,https://www.google.com/maps/contrib/115441555399044942685/reviews?hl=zh-TW,在地嚮導 · 12 則評論 · 85 張相片,4 顆星,3,天,,2025-05-04,2025-05-04
圓環邊蚵仔煎,湘湘,https://www.google.com/maps/contrib/102957934055381267258/reviews?hl=zh-TW,在地嚮導 · 147 則評論 · 925 張相片,4 顆星,3,天,"排隊人潮很長，但感覺前進速度算快
店裡用餐空間舒適，點餐人員很親切

蚵仔煎$95
口感Q彈，特調醬很好吃，蚵仔飽滿又大顆
可惜太白粉偏多有點退步",2025-05-04,2025-05-04
圓環邊蚵仔煎,Edith Wong,https://www.google.com/maps/contrib/100079491056659869274/reviews?hl=zh-TW,在地嚮導 · 26 則評論 · 120 張相片,3 顆星,3,天,"正常台灣蚵仔煎味道
不會特別好吃",2025-05-04,2025-05-04
圓環邊蚵仔煎,Edward Lin,https://www.google.com/maps/contrib/117958978554123894273/reviews?hl=zh-TW,"在地嚮導 · 1,190 則評論 · 2,358 張相片",5 顆星,3,天,"小弟今年50歲
這間蚵仔煎可是打從小吃到現在的超老牌蚵仔煎店，店老闆應該換到第三代了吧……因為店內變乾淨了，也變寬敞囉！
蚵仔煎……無庸置疑蚵仔大，粉漿濃，醬料香
米糕……就是北港油飯，那滷肉香拌一拌就融入糯米飯裡面囉
蚵仔＆蛤啊湯……有鮮就是好喝",2025-05-04,2025-05-04
圓環邊蚵仔煎,Ashley Huang,https://www.google.com/maps/contrib/109173906935971317538/reviews?hl=zh-TW,"在地嚮導 · 543 則評論 · 1,490 張相片",4 顆星,3,天,好吃，大排長龍，不過價格偏高 .,2025-05-04,2025-05-04
圓環邊蚵仔煎,Gyver Chen,https://www.google.com/maps/contrib/104290887783402704934/reviews?hl=zh-TW,在地嚮導 · 43 則評論 · 53 張相片,3 顆星,4,天,蚵仔煎尚可，但排骨酥湯很雷(不推)。,2025-05-04,2025-05-04
圓環邊蚵仔煎,李冰冰,https://www.google.com/maps/contrib/102937120385789121786/reviews?hl=zh-TW,"在地嚮導 · 451 則評論 · 2,197 張相片",4 顆星,4,天,"蚵仔煎：蚵仔給的不是小顆的但是也沒有到多大顆，這家的太白粉軟感沒有那麼重，蛋也是攪拌過的煎蛋，整體吃起來不是走一個重鮮味的路線，調味醬吃起來味道不鮮明，只有潤口的作用，整體吃起來沒有到特別驚艷，不難吃表現還行。
米糕：看起來沒有什麼豐富配料的米糕，除了煮的粒粒分明之外，米的品質吃的出非常好，跟外面市售的不太一樣，這個品項不是走豐富花翹的路線，如果對於米飯要求高的人可以點這個試試，好的米用簡單的調味就吃得出好的品質，推一個。",2025-05-04,2025-05-04
圓環邊蚵仔煎,詹培昕,https://www.google.com/maps/contrib/115512980455456984361/reviews?hl=zh-TW,5 則評論 · 12 張相片,4 顆星,4,天,,2025-05-04,2025-05-04
圓環邊蚵仔煎,미쉐린,https://www.google.com/maps/contrib/111662571817989165251/reviews?hl=zh-TW,在地嚮導 · 17 則評論 · 56 張相片,5 顆星,5,天,"我是下午1點以後去的，沒有人排隊，所以我馬上就進去了。
因為顧客很少，所以他們帶著友善的微笑為我們服務，氣氛很安靜，這很好，但我想晚上很難得到這樣的服務。
味道和我在高雄六合夜市和六豐夜市吃的蠔煎不同。我不確定這是否是最好的，但這是我吃過的最好的牡蠣煎餅。 （高雄夜市的生蠔太小了，我幾乎嘗不到生蠔的味道。） 是包裝的，醬汁也是分開的，感覺他們很用心。我絕對推薦嘗試。另外，如果你跟我一樣早來的話，我還推薦阿川蚵仔麵的牛肚蚵仔麵。",2025-05-04,2025-05-04
圓環邊蚵仔煎,elton shen (Holder1992),https://www.google.com/maps/contrib/113572659384757097486/reviews?hl=zh-TW,在地嚮導 · 28 則評論 · 1 張相片,2 顆星,5,天,95塊食材乾淨口味普通的蚵仔煎，搭配店員極差的態度實在是一絕，看不見身為台灣觀光客名店的自覺與責任感，真的是為台灣外交感到擔憂。,2025-05-04,2025-05-04
李掌伯（原寧夏夜市里長伯麻辣臭豆腐鴨血蚵仔麵線）,愛聽歌,https://www.google.com/maps/contrib/118133019638271116506/reviews?hl=zh-TW,6 則評論 · 1 張相片,5 顆星,4,小時,他們家的金莎臭豆腐真的超邪惡，外面裹上金沙醬我直接驚呼出來！,2025-05-04,2025-05-04
李掌伯（原寧夏夜市里長伯麻辣臭豆腐鴨血蚵仔麵線）,Bambino,https://www.google.com/maps/contrib/102639540639580255001/reviews?hl=zh-TW,在地嚮導 · 31 則評論 · 35 張相片,5 顆星,2,天,親子友善廁所，帶小孩很方便，有機會再來吃。,2025-05-04,2025-05-04
李掌伯（原寧夏夜市里長伯麻辣臭豆腐鴨血蚵仔麵線）,小嘰嘰,https://www.google.com/maps/contrib/117654188152861005512/reviews?hl=zh-TW,在地嚮導 · 69 則評論 · 39 張相片,1 顆星,2,天,爆幹難吃,2025-05-04,2025-05-04
李掌伯（原寧夏夜市里長伯麻辣臭豆腐鴨血蚵仔麵線）,廖寶鳳,https://www.google.com/maps/contrib/109717507966768400212/reviews?hl=zh-TW,,5 顆星,2,天,三寶超值，分量剛好，又能一次吃到三種口味，推爆！,2025-05-04,2025-05-04
李掌伯（原寧夏夜市里長伯麻辣臭豆腐鴨血蚵仔麵線）,類,https://www.google.com/maps/contrib/103340589380052215729/reviews?hl=zh-TW,在地嚮導 · 38 則評論 · 2 張相片,5 顆星,3,天,好吃謝謝,2025-05-04,2025-05-04
李掌伯（原寧夏夜市里長伯麻辣臭豆腐鴨血蚵仔麵線）,JYUN WEI HUNG,https://www.google.com/maps/contrib/102618457814128284556/reviews?hl=zh-TW,2 則評論,5 顆星,3,天,李掌伯的臭豆腐一咬爆香，裡面還有湯汁！臭豆腐口感確實跟外面賣的不一樣比較能吃到豆腐不像外面都是空心的。,2025-05-04,2025-05-04
李掌伯（原寧夏夜市里長伯麻辣臭豆腐鴨血蚵仔麵線）,盧傳捷,https://www.google.com/maps/contrib/111565332559772120640/reviews?hl=zh-TW,在地嚮導 · 332 則評論 · 826 張相片,2 顆星,3,天,麻辣鴨血臭豆腐還算不錯吃（雖然豆腐沒怎麼入味，但吃到一半咬到有個超級硬的東西，真看不出來是什麼 本來以為是中藥，但測試硬度後感覺是磁磚^^,2025-05-04,2025-05-04
李掌伯（原寧夏夜市里長伯麻辣臭豆腐鴨血蚵仔麵線）,余信宏,https://www.google.com/maps/contrib/116019540394387022221/reviews?hl=zh-TW,在地嚮導 · 17 則評論,3 顆星,4,天,外帶點大碗的，回到家只有八分滿，料很少，大腸還有點味道，建議店家把關一下，還有碗換小一點，不然覺得很小碗,2025-05-04,2025-05-04
李掌伯（原寧夏夜市里長伯麻辣臭豆腐鴨血蚵仔麵線）,Tsai Yi Jie,https://www.google.com/maps/contrib/115593959810540990732/reviews?hl=zh-TW,2 則評論,5 顆星,4,天,我吃的是中辣湯頭，溫溫辣辣的很順口，邊吃邊冒汗好爽！麻辣鴨血好吃。,2025-05-04,2025-05-04
李掌伯（原寧夏夜市里長伯麻辣臭豆腐鴨血蚵仔麵線）,Zhe L,https://www.google.com/maps/contrib/109682559534704142158/reviews?hl=zh-TW,12 則評論 · 6 張相片,1 顆星,5,天,"都已經點餐多久了
其他人都吃完了 餐點都還沒到
還要去櫃檯追進度
明明就是從鍋子裡面裝起來就好了
是要多久
如果沒有問 是不是就都不會上菜了",2025-05-04,2025-05-04
李掌伯（原寧夏夜市里長伯麻辣臭豆腐鴨血蚵仔麵線）,Tea,https://www.google.com/maps/contrib/105712118358543499399/reviews?hl=zh-TW,13 則評論 · 4 張相片,5 顆星,5,天,麵線湯頭味道很純，不是那種便宜味，搭配臭豆腐吃真的剛剛好。,2025-05-04,2025-05-04
豬肝榮仔,Yifan Liao,https://www.google.com/maps/contrib/111829018112922782715/reviews?hl=zh-TW,在地嚮導 · 131 則評論 · 222 張相片,4 顆星,1,天,豬肝湯、肉粽加台灣造型的芋頭糕=滿足😌,2025-05-04,2025-05-04
豬肝榮仔,Sabrina W,https://www.google.com/maps/contrib/107555546125618078863/reviews?hl=zh-TW,"在地嚮導 · 180 則評論 · 1,441 張相片",5 顆星,4,天,"豬肝湯的豬肝處理的很乾淨
口感滑嫩，不會粉粉的或乾柴",2025-05-04,2025-05-04
豬肝榮仔,FOOD SKY,https://www.google.com/maps/contrib/106763779687694580594/reviews?hl=zh-TW,"在地嚮導 · 210 則評論 · 1,392 張相片",5 顆星,4,天,"正EV+
湯鮮甜，料美味
菜單品項越少越厲害
值得一吃",2025-05-04,2025-05-04
豬肝榮仔,黃文志,https://www.google.com/maps/contrib/101380559791419625081/reviews?hl=zh-TW,"在地嚮導 · 612 則評論 · 6,973 張相片",4 顆星,5,天,享用了肉粽及綜合湯（豬肝，豬肚，肉羹）還有台灣形狀的香蔥芋頭糕，吃完超級飽，還可以續湯唷～,2025-05-04,2025-05-04
寧夏夜市-爆漿脆皮魷魚,Anny Liu,https://www.google.com/maps/contrib/105126339810787188830/reviews?hl=zh-TW,"在地嚮導 · 236 則評論 · 3,012 張相片",4 顆星,4,小時,"2025/1/30

椒鹽口味魷魚包小黃瓜一份$160，魷魚炸的調味還可，但裡面包了小黃瓜及豆薯感覺沒有融合一起，所以下次若購買會選炸魷魚，另外魷魚本來就會灑胡椒鹽所以可選蒜片，這樣有椒鹽也有蒜片。",2025-05-04,2025-05-04
寧夏夜市-爆漿脆皮魷魚,lindy chuang,https://www.google.com/maps/contrib/117279971872824683073/reviews?hl=zh-TW,在地嚮導 · 16 則評論 · 40 張相片,5 顆星,3,天,再次回購，難忘的美食,2025-05-04,2025-05-04
寧夏夜市-爆漿脆皮魷魚,C L,https://www.google.com/maps/contrib/115621632197243827971/reviews?hl=zh-TW,在地嚮導 · 32 則評論 · 27 張相片,2 顆星,3,天,第一口不錯，接下來就滿膩的,2025-05-04,2025-05-04
寧夏夜市-爆漿脆皮魷魚,Xiaohui Wu,https://www.google.com/maps/contrib/114307060486689309990/reviews?hl=zh-TW,"在地嚮導 · 675 則評論 · 2,605 張相片",2 顆星,3,天,🦑一隻140。魷魚的表皮跟魷魚分離 根本沒有脆皮 難吃,2025-05-04,2025-05-04
寧夏夜市-爆漿脆皮魷魚,みにゅ,https://www.google.com/maps/contrib/101591045364698380162/reviews?hl=zh-TW,在地嚮導 · 14 則評論 · 20 張相片,5 顆星,4,天,"週六 19:00 左右訪問。
有一條線，隊伍就在攤位後面。
輪換速度很快，所以看起來排了很長的隊，但我在大約15分鐘內就買了。

這是一種油炸魷魚，裡面有蘿蔔和黃瓜。
顯然你可以拔出黃瓜。
份量很大，建議2-3人共享！自己一個人可以吃完，但其他大排檔可能就吃不到了。

有好幾種口味，不過這次買的是檸檬。
還撒了胡椒粉，吃起來很方便，非常好吃！

店員似乎也會說日語，所以我們一切都用日語溝通。",2025-05-04,2025-05-04
寧夏夜市-爆漿脆皮魷魚,xuan yu,https://www.google.com/maps/contrib/108380825800919933910/reviews?hl=zh-TW,"在地嚮導 · 343 則評論 · 1,413 張相片",1 顆星,5,天,我不懂為什麼會那麼多人排隊,2025-05-04,2025-05-04
菇之居,Ching Ching,https://www.google.com/maps/contrib/109467742890673401698/reviews?hl=zh-TW,在地嚮導 · 44 則評論 · 12 張相片,3 顆星,5,天,點晚餐回炸，今天有點炸太黑了,2025-05-04,2025-05-04
豆花莊,Eric Cheng (Eric),https://www.google.com/maps/contrib/107787196321756218267/reviews?hl=zh-TW,在地嚮導 · 85 則評論 · 317 張相片,5 顆星,2,小時,"這家是必吃的豆花店  假日的人潮真的太多!!
還我都是平日來吃  比較沒有排隊問題!!
讚! 好吃 推推!",2025-05-04,2025-05-04
豆花莊,Yang Mark.S,https://www.google.com/maps/contrib/108343867390816535785/reviews?hl=zh-TW,在地嚮導 · 109 則評論 · 188 張相片,5 顆星,4,小時,,2025-05-04,2025-05-04
豆花莊,09,https://www.google.com/maps/contrib/116880835172982022453/reviews?hl=zh-TW,"在地嚮導 · 1,267 則評論 · 2,872 張相片",3 顆星,4,小時,"週日中午 12 點參觀。我馬上就能進去了。

紅豆豆腐布丁上放有白玉餃子。 70元。我點了一些熱的飲料，但是糖漿又冷又溫。
豆花與日本豆腐類似。紅豆沒有日本的甜。白玉餃子也不太甜。糖漿很甜。",2025-05-04,2025-05-04
豆花莊,Leo Lin,https://www.google.com/maps/contrib/115183344917939154879/reviews?hl=zh-TW,在地嚮導 · 9 則評論 · 11 張相片,5 顆星,1,天,,2025-05-04,2025-05-04
豆花莊,Shao Hung,https://www.google.com/maps/contrib/111265555062271000501/reviews?hl=zh-TW,在地嚮導 · 46 則評論 · 13 張相片,3 顆星,1,天,"點了一碗粉粿冰+芋圓
粉粿不錯 有嚼勁
芋圓不推
糖水超甜",2025-05-04,2025-05-04
豆花莊,11 TOMO,https://www.google.com/maps/contrib/100678670780477196374/reviews?hl=zh-TW,在地嚮導 · 33 則評論 · 40 張相片,5 顆星,2,天,平日午餐時間餐廳人不多，我指著菜單點了三式豆花（花瓶、馬鈴薯頭、粉糕），我們兩人分享。麵粉的質感非常好，老婆稱讚不已。下次我想嘗試配料。,2025-05-04,2025-05-04
豆花莊,황지유,https://www.google.com/maps/contrib/106803094088802337623/reviews?hl=zh-TW,在地嚮導 · 20 則評論 · 27 張相片,5 顆星,2,天,"如果您在附近，請至少嘗試一次。
離迪化街很近，可以逛逛，喝點清涼的飲料
這是用芋頭丸子和豆腐絲加糖水做成的正宗味道。",2025-05-04,2025-05-04
豆花莊,YS Chang,https://www.google.com/maps/contrib/116048524372517649514/reviews?hl=zh-TW,在地嚮導 · 1 則評論 · 7 張相片,5 顆星,2,天,,2025-05-04,2025-05-04
豆花莊,YSL greenmilk Ysl,https://www.google.com/maps/contrib/117870050271520651028/reviews?hl=zh-TW,"在地嚮導 · 463 則評論 · 24,505 張相片",4 顆星,3,天,,2025-05-04,2025-05-04
豆花莊,柯盈如,https://www.google.com/maps/contrib/118330068339751834319/reviews?hl=zh-TW,11 則評論,2 顆星,4,天,以前的芋頭很好吃，為了芋頭再回訪，芋頭讓人感到失望,2025-05-04,2025-05-04
豆花莊,李佳蓓,https://www.google.com/maps/contrib/111636559025689913939/reviews?hl=zh-TW,4 則評論 · 1 張相片,1 顆星,4,天,"點了三碗豆花
芋圓 跟 湯圓 都是硬的
感覺是隔夜的",2025-05-04,2025-05-04
豆花莊,Chris Chu,https://www.google.com/maps/contrib/115916816336043160444/reviews?hl=zh-TW,在地嚮導 · 189 則評論 · 517 張相片,4 顆星,4,天,"豆花軟滑 少了些豆香味
粉粿略硬
其他配料普通",2025-05-04,2025-05-04
豆花莊,E Kawa,https://www.google.com/maps/contrib/117096714190737288816/reviews?hl=zh-TW,在地嚮導 · 201 則評論 · 480 張相片,4 顆星,4,天,"店員都很友善
愛玉雖吃起來感覺不是天然洗出來那種
不過也無妨
換個心情當果凍吃就很好哈哈
甘蔗冰沙的甜度應該五到七分",2025-05-04,2025-05-04
豆花莊,scott lin,https://www.google.com/maps/contrib/117061117814374588874/reviews?hl=zh-TW,在地嚮導 · 28 則評論 · 5 張相片,3 顆星,4,天,很久沒吃過這麼硬的芋頭了,2025-05-04,2025-05-04
豆花莊,王小明,https://www.google.com/maps/contrib/113798972490167459000/reviews?hl=zh-TW,在地嚮導 · 42 則評論 · 3 張相片,3 顆星,5,天,豆花莊家,2025-05-04,2025-05-04
環記麻油雞,I,https://www.google.com/maps/contrib/100668423574573268286/reviews?hl=zh-TW,在地嚮導 · 11 則評論 · 51 張相片,4 顆星,23,小時,"麻油炒赤肉很香很美味、赤肉份量足Q彈👍
筍絲不錯、滷肉飯的飯太黏。",2025-05-04,2025-05-04
環記麻油雞,韋韋,https://www.google.com/maps/contrib/102381728710190461180/reviews?hl=zh-TW,在地嚮導 · 48 則評論 · 324 張相片,4 顆星,3,天,"料多實在
多年口味不變
專業的服務流程
來寧夏夜市必吃",2025-05-04,2025-05-04
環記麻油雞,YSL greenmilk Ysl,https://www.google.com/maps/contrib/117870050271520651028/reviews?hl=zh-TW,"在地嚮導 · 463 則評論 · 24,505 張相片",4 顆星,3,天,,2025-05-04,2025-05-04
冰霖古早味豆花,L,https://www.google.com/maps/contrib/112562929356817167011/reviews?hl=zh-TW,在地嚮導 · 62 則評論 · 108 張相片,5 顆星,6,小時,在炎熱的季節，我總是來這裡，想著最好從車站走過來。我通常會點芋圓和芋頭豆花，但這次卻意外點了豆漿芋圓和芋頭豆花。這是我第八次來台灣，也是我第一次嘗試豆漿和豆腐花，但它很美味，我很高興我犯了這個錯誤。我喜歡之前餐廳的氛圍，食物仍然一樣美味，員工也一樣友善。,2025-05-04,2025-05-04
冰霖古早味豆花,KC Poon,https://www.google.com/maps/contrib/108767656480807758622/reviews?hl=zh-TW,在地嚮導 · 120 則評論 · 118 張相片,5 顆星,8,小時,,2025-05-04,2025-05-04
冰霖古早味豆花,ralph yen,https://www.google.com/maps/contrib/102989327197128113729/reviews?hl=zh-TW,在地嚮導 · 115 則評論 · 25 張相片,4 顆星,1,天,天熱經過吃一碗豆花，無功無過的店家。,2025-05-04,2025-05-04
冰霖古早味豆花,Chloe Hsieh,https://www.google.com/maps/contrib/104216750104981383830/reviews?hl=zh-TW,14 則評論 · 2 張相片,1 顆星,2,天,"點餐完畢
結帳單上時間為19:32
等餐過程中，
員工曾因為叫不到號碼，
來檢查我的叫號單兩次，
原以為是生意太好，
才會等這麼久
一直到19:50
店員才確定漏單，
而櫃檯的那位先生
只告訴其他人，
你們要疊單，請不要漏單，
然後有位員工又叫我再等
最後退款是我看到手機上的訊息才知道，
沒有人告訴我。
第一次遇到服務如此差的店家，
員工基本的服務機制都沒有。
提醒等超過五分鐘的客人，
不需要客氣，直接上前詢問",2025-05-04,2025-05-04
冰霖古早味豆花,take i (T-take),https://www.google.com/maps/contrib/106765191543054391561/reviews?hl=zh-TW,"在地嚮導 · 208 則評論 · 1,861 張相片",5 顆星,2,天,"簡單又美味
有傳統，有豆漿，選擇傳統

NT$65（300日圓）+2種配料",2025-05-04,2025-05-04
冰霖古早味豆花,Chargi Liao,https://www.google.com/maps/contrib/104457615517069679144/reviews?hl=zh-TW,在地嚮導 · 77 則評論 · 821 張相片,4 顆星,3,天,,2025-05-04,2025-05-04
冰霖古早味豆花,Alexander Tu,https://www.google.com/maps/contrib/104131666792625645182/reviews?hl=zh-TW,在地嚮導 · 38 則評論 · 185 張相片,5 顆星,3,天,從小吃到大。。。讚,2025-05-04,2025-05-04
冰霖古早味豆花,Kate Lee,https://www.google.com/maps/contrib/107026103016617897917/reviews?hl=zh-TW,在地嚮導 · 3 則評論 · 7 張相片,4 顆星,3,天,,2025-05-04,2025-05-04
冰霖古早味豆花,E Kawa,https://www.google.com/maps/contrib/117096714190737288816/reviews?hl=zh-TW,在地嚮導 · 201 則評論 · 480 張相片,4 顆星,4,天,"喜歡無糖豆漿豆花
芋頭綿密中帶一點硬
剛吃第一口雖甜（畢竟是蜜芋頭）
但泡久了就跟無糖豆漿融在一起
對我來說剛剛好

愛玉吃起來滿天然的
可惜甜度是固定的不能調整
不過甜度也不高
大概三到五分左右吧",2025-05-04,2025-05-04
冰霖古早味豆花,J S,https://www.google.com/maps/contrib/107389218242419001615/reviews?hl=zh-TW,在地嚮導 · 171 則評論 · 432 張相片,3 顆星,5,天,生意好，服務員動作快，東西尚可，可要求半糖,2025-05-04,2025-05-04
冰霖古早味豆花,キャブ車を愛する（還暦ライダー）,https://www.google.com/maps/contrib/112702173699293980325/reviews?hl=zh-TW,"在地嚮導 · 412 則評論 · 1,683 張相片",5 顆星,5,天,"吃完台灣菜就選這個當甜點
我太太點了雪花，我點了豆腐。
因為是很有名的餐廳，所以味道非常好。
Sekkahyo 和 Touka 的甜度較低，適合日本人的均衡冰淇淋。
似乎這也是《Kodoku no Gourmet》中的特色內容。
入口處有一張五郎的海報。",2025-05-04,2025-05-04
寧夏夜市千歲宴,Leo Li,https://www.google.com/maps/contrib/106844811708485757530/reviews?hl=zh-TW,在地嚮導 · 33 則評論 · 19 張相片,3 顆星,1,小時,"沒有不好吃，味道不錯
沒有吃不飽，因為很多道菜
但，
每道夜市小吃，都只有一道
想像一下10人吃一份蚵仔煎，10人吃一份章魚燒……
沒有不好吃也沒有吃不飽，
但就是不盡興！",2025-05-04,2025-05-04
寧夏夜市-林振櫂燒麻糬,Grace Chen,https://www.google.com/maps/contrib/110539755180825366252/reviews?hl=zh-TW,"在地嚮導 · 118 則評論 · 1,799 張相片",4 顆星,2,天,,2025-05-04,2025-05-04
寧夏夜市-林振櫂燒麻糬,Ashley Huang,https://www.google.com/maps/contrib/109173906935971317538/reviews?hl=zh-TW,"在地嚮導 · 543 則評論 · 1,490 張相片",5 顆星,3,天,好吃，不管熱的還是冰的都好吃。,2025-05-04,2025-05-04
寧夏夜市-林振櫂燒麻糬,闇神,https://www.google.com/maps/contrib/111121735296511702454/reviews?hl=zh-TW,在地嚮導 · 97 則評論 · 231 張相片,5 顆星,4,天,"我花了兩個小時跑了三家麻糬店，終於在寧夏夜市吃到了
而且超好吃，直接變成心目中排名第二名，超開心的終於吃到我心心念念的麻糬，而且我正好趕上最後幾顆😆
非常感謝讓我吃到麻糬！！😆😍 …",2025-05-04,2025-05-04
劉芋仔蛋黃芋餅,Anny Liu,https://www.google.com/maps/contrib/105126339810787188830/reviews?hl=zh-TW,"在地嚮導 · 236 則評論 · 3,012 張相片",5 顆星,2,小時,"喜歡炸芋頭丸的應該都會喜歡，芋泥餡不會過甜這點很加分，另外一種加了蛋黃及肉脯變成甜鹹的口感也很讚！只要到寧夏夜市必定會購買。

但這油炸類冷掉了風味略減比較會有油膩感，芋泥餡也會變乾乾，最佳享用時期是買好了當場享用完畢。",2025-05-04,2025-05-04
劉芋仔蛋黃芋餅,陳德沅 Tiffany,https://www.google.com/maps/contrib/118112485410128097317/reviews?hl=zh-TW,"在地嚮導 · 369 則評論 · 1,479 張相片",5 顆星,2,天,"蛋黃芋餅 $35

寧夏路人氣芋餅，以前都大排長龍，現在隊伍變的比較短了，不用等太久，太棒了👏

蛋黃芋餅依舊很好吃，芋頭泥包覆著完整的鹹蛋黃+肉鬆，咬起來很紮實，鹹甜鹹甜的滋味，超好吃😋",2025-05-04,2025-05-04
劉芋仔蛋黃芋餅,Ting,https://www.google.com/maps/contrib/108668089825903739295/reviews?hl=zh-TW,在地嚮導 · 300 則評論 · 506 張相片,3 顆星,3,天,偏小顆，不過價格不貴，當天吃比較好吃，蛋黃的比純芋泥好吃，冷到壓了會出不少的油,2025-05-04,2025-05-04
劉芋仔蛋黃芋餅,C L,https://www.google.com/maps/contrib/115621632197243827971/reviews?hl=zh-TW,在地嚮導 · 32 則評論 · 27 張相片,1 顆星,3,天,"一星是因為我問女生員工兩款差別，他只說一個甜一個鹹，買了才發現一個是全芋泥，一個是肉鬆加蛋黃加芋泥，希望他們招牌可以解釋更詳細，這樣客人就不用買了不喜歡的品項。
全芋泥吃起來非常普通，加肉鬆蛋黃的可以試一次，以後不會再買了。",2025-05-04,2025-05-04
劉芋仔蛋黃芋餅,Xiaohui Wu,https://www.google.com/maps/contrib/114307060486689309990/reviews?hl=zh-TW,"在地嚮導 · 675 則評論 · 2,605 張相片",3 顆星,3,天,芋頭餡 是好吃的 。芋頭球又很軟又油 加蛋黃的蛋黃也硬硬 排隊人潮擁擠,2025-05-04,2025-05-04
